Luchthavens,Perioden,Overlandbewegingen,Terreinbewegingen,Totaal Vluchten,Geregelde vluchten,Aantal passagiers,Goederenvervoer (ton),Postvervoer(ton)
Totaal luchthavens van nationaal belang,2019,603633,51939,566031,552061,81167301,1681703,21959
Totaal luchthavens van nationaal belang,2020,288182,61655,258226,248730,23585744,1577582,14831
Totaal luchthavens van nationaal belang,2021,340288,84000,303062,291454,29069535,1795298,13550
Totaal luchthavens van nationaal belang,2022,511363,89064,462600,446514,61268058,1545956,7715
Amsterdam Airport Schiphol,2019,509725,6059,496827,489588,71679729,1570246,21959
Amsterdam Airport Schiphol,2020,236154,5247,227275,221649,20884510,1441597,14831
Amsterdam Airport Schiphol,2021,280339,5243,266956,261054,25490810,1667304,13550
Amsterdam Airport Schiphol,2022,416464,5832,397636,389638,52470880,1437738,7715
Rotterdam The Hague Airport,2019,30100,22245,18406,15374,2094798,0,0
Rotterdam The Hague Airport,2020,16119,22459,6337,4916,489841,0,0
Rotterdam The Hague Airport,2021,19271,27827,8307,5662,755395,0,0
Rotterdam The Hague Airport,2022,32299,27021,18383,14295,2113342,0,0
Eindhoven Airport,2019,41441,0,40209,39182,6780775,0,0
Eindhoven Airport,2020,18821,1,17875,17248,2112785,0,0
Eindhoven Airport,2021,21706,0,20524,19550,2698424,0,0
Eindhoven Airport,2022,40256,0,38979,37768,6330599,0,0
Maastricht Aachen Airport,2019,11404,2681,7199,5784,435977,111457,0
Maastricht Aachen Airport,2020,8962,2690,6127,4597,81080,135985,0
Maastricht Aachen Airport,2021,9990,2912,6601,5188,97646,127994,0
Maastricht Aachen Airport,2022,10909,2925,6409,4813,266032,108218,0
Groningen Airport Eelde,2019,10963,20954,3390,2133,176022,0,0
Groningen Airport Eelde,2020,8126,31258,612,320,17528,0,0
Groningen Airport Eelde,2021,8982,48018,674,0,27260,0,0
Groningen Airport Eelde,2022,11435,53286,1193,0,87205,0,0
